date,hours_after_sunset,risk,reward,bat_landing_to_food,habit,seconds_after_rat_arrival,season,food_availability,rat_arrival_number,bat_landing_number
2017-12-30,2.0,1,0,16.0,rat,108,0,3.955857385,0.0,20.0
2017-12-30,3.0,0,1,0.074015603,fast,17,0,3.067911715,1.0,37.0
2017-12-30,3.0,0,1,4.0,fast,41,0,3.067911715,1.0,37.0
2017-12-30,3.0,1,0,10.0,rat,111,0,3.067911715,1.0,37.0
2017-12-30,3.0,1,0,15.0,rat,194,0,3.067911715,1.0,37.0
2017-12-30,3.0,1,0,24.0,rat,215,0,3.067911715,1.0,37.0
2017-12-30,3.0,1,0,13.0,rat,253,0,3.067911715,1.0,37.0
2017-12-26,4.5,1,0,15.0,rat,88,0,2.561403509,1.0,53.0
2017-12-26,4.5,0,1,6.0,pick,113,0,2.561403509,1.0,53.0
2017-12-26,4.5,0,1,3.0,fast,121,0,2.561403509,1.0,53.0
2017-12-26,4.5,0,1,5.0,pick,128,0,2.561403509,1.0,53.0
2017-12-26,4.5,0,1,6.0,pick,153,0,2.561403509,1.0,53.0
2017-12-26,4.5,1,0,10.0,rat,208,0,2.561403509,1.0,53.0
2017-12-26,4.5,1,0,1.0,bat_fight,216,0,2.561403509,1.0,53.0
2017-12-27,9.0,1,0,2.0,rat_and_no_food,37,0,0.0,1.0,13.0
2017-12-28,3.0,0,1,1.0,fast,14,0,3.07696661,1.0,23.0
2017-12-28,3.0,1,0,2.0,rat,40,0,3.07696661,1.0,23.0
2017-12-28,3.0,1,0,26.0,rat,68,0,3.07696661,1.0,23.0
2017-12-28,3.0,1,0,5.0,rat_and_others,521,0,3.07696661,1.0,23.0
2017-12-28,3.0,1,1,15.0,pick_and_others,564,0,3.07696661,1.0,23.0
2017-12-28,3.0,1,0,24.0,rat,607,0,3.07696661,1.0,23.0
2017-12-28,11.5,0,1,2.0,fast,107,0,0.730769231,1.0,11.0
2017-12-28,11.5,0,1,2.0,fast,358,0,0.730769231,1.0,11.0
2018-01-27,6.5,0,1,0.049410419,fast,12,0,2.55,1.0,64.0
2018-01-27,6.5,0,1,1.0,fast,14,0,2.55,1.0,64.0
2018-01-27,6.5,1,0,6.0,rat,49,0,2.55,1.0,64.0
2018-01-27,6.5,0,1,3.0,fast,68,0,2.55,1.0,64.0
2018-01-27,6.5,1,0,8.0,rat,84,0,2.55,1.0,64.0
2018-01-27,6.5,1,0,31.0,rat,122,0,2.55,1.0,64.0
2018-01-27,6.5,0,1,0.010695699,fast,186,0,2.55,1.0,64.0
2018-01-27,6.5,0,1,2.0,fast,231,0,2.55,1.0,64.0
2018-01-27,6.5,0,0,1.0,gaze,246,0,2.55,1.0,64.0
2018-01-27,6.5,0,1,9.0,pick,253,0,2.55,1.0,64.0
2018-01-27,6.5,0,1,6.0,pick,355,0,2.55,1.0,64.0
2018-01-28,11.0,0,1,11.0,pick,742,0,1.0,1.0,3.0
2018-01-01,9.0,0,1,2.0,fast,115,0,1.92688172,1.0,18.0
2018-01-31,2.5,1,0,3.0,rat,195,0,3.214285714,1.0,80.0
2018-01-31,5.0,0,1,1.0,fast,168,0,2.0,1.0,80.0
2018-01-10,11.5,1,0,1.0,rat,306,0,2.366666667,0.0,23.0
2018-01-28,3.0,0,1,1.0,fast,9,0,3.583333333,1.0,68.0
2018-01-28,3.0,1,0,1.0,rat,456,0,3.583333333,1.0,68.0
2018-01-28,3.0,1,0,0.035319187,rat,528,0,3.583333333,1.0,68.0
2018-01-28,3.0,1,0,1.0,rat,534,0,3.583333333,1.0,68.0
2018-01-28,3.0,1,1,7.0,pick_rat,545,0,3.583333333,1.0,68.0
2018-01-28,3.0,0,1,1.0,fast,551,0,3.583333333,1.0,68.0
2018-01-28,3.0,0,1,0.034803066,fast,569,0,3.583333333,1.0,68.0
2018-01-28,3.0,1,0,1.0,rat,583,0,3.583333333,1.0,68.0
2018-01-28,3.0,0,1,1.0,fast,589,0,3.583333333,1.0,68.0
2018-01-28,3.0,0,1,2.0,fast,627,0,3.583333333,1.0,68.0
2018-01-28,3.0,0,1,1.0,fast,631,0,3.583333333,1.0,68.0
2018-01-28,3.0,0,1,4.0,fast,642,0,3.583333333,1.0,68.0
2018-01-28,3.0,0,1,4.0,pick,720,0,3.583333333,1.0,68.0
2018-01-28,3.0,1,0,3.0,rat,824,0,3.583333333,1.0,68.0
2018-01-29,8.5,0,1,22.0,pick,225,0,1.151209677,0.0,55.0
2018-01-28,3.0,1,0,1.0,rat,162,0,3.583333333,1.0,68.0
2018-02-20,8.5,1,0,2.0,rat,151,0,2.0,2.0,46.0
2018-02-20,9.5,1,0,1.0,rat,17,0,1.822307272,1.0,30.0
2018-02-20,8.5,1,0,3.0,bat,116,0,2.0,2.0,46.0
2018-02-10,7.5,1,0,4.0,rat,22,0,1.025466893,1.0,51.0
2018-02-10,7.5,0,1,3.0,fast,96,0,1.025466893,1.0,51.0
2018-02-10,7.5,0,1,0.089216347,fast,18,0,1.025466893,1.0,51.0
2018-02-10,7.5,1,0,2.0,rat,56,0,1.025466893,1.0,51.0
2018-02-10,7.5,0,1,0.041390374,fast,65,0,1.025466893,1.0,51.0
2018-02-10,7.5,1,0,0.090143902,rat,81,0,1.025466893,1.0,51.0
2018-02-10,7.5,0,0,20.0,both,102,0,1.025466893,1.0,51.0
2018-02-10,7.5,1,0,2.0,rat,149,0,1.025466893,1.0,51.0
2018-02-10,7.5,1,0,7.0,bat,61,0,1.025466893,1.0,51.0
2018-02-10,7.5,1,1,21.0,pick_bat,65,0,1.025466893,1.0,51.0
2018-02-10,7.5,0,1,4.0,pick,68,0,1.025466893,1.0,51.0
2018-02-10,7.5,0,1,2.0,pick,80,0,1.025466893,1.0,51.0
2018-02-07,1.0,1,0,1.0,rat,166,0,4.0,5.0,29.0
2018-02-07,5.5,0,1,14.0,pick,299,0,2.050611791,2.0,65.0
2018-02-08,8.5,1,0,8.0,rat_attack,7,0,1.037351443,2.0,53.0
2018-02-08,8.5,0,1,1.0,fast,2,0,1.037351443,2.0,53.0
2018-02-08,9.0,1,0,6.0,rat,74,0,1.0,0.0,24.0
2018-02-08,9.0,1,0,1.0,rat,80,0,1.0,0.0,24.0
2018-02-08,9.0,1,0,7.0,rat,99,0,1.0,0.0,24.0
2018-02-08,9.0,1,0,4.0,rat,116,0,1.0,0.0,24.0
2018-02-08,9.0,1,0,4.0,rat,200,0,1.0,0.0,24.0
2018-02-08,10.5,1,0,0.035867953,rat,27,0,0.0,0.0,19.0
2018-02-02,7.5,0,1,2.0,fast,184,0,1.03198484,1.0,60.0
2018-02-02,7.5,1,0,1.0,rat,239,0,1.03198484,1.0,60.0
2018-02-09,7.0,0,1,3.0,fast,2,0,2.0,2.0,46.0
2018-02-09,7.0,1,0,1.0,rat,135,0,2.0,2.0,46.0
2018-02-09,7.0,0,1,17.0,pick,2,0,2.0,2.0,46.0
2018-02-09,7.0,1,0,1.0,rat,154,0,2.0,2.0,46.0
2018-02-09,10.0,1,0,1.0,rat,146,0,1.0,1.0,22.0
2018-02-09,10.0,1,0,21.0,rat,211,0,1.0,1.0,22.0
2018-02-09,10.0,0,1,9.0,pick,246,0,1.0,1.0,22.0
2018-02-13,10.5,1,0,1.0,rat,77,0,1.0,1.0,28.0
2018-02-13,10.5,0,1,3.0,fast,59,0,1.0,1.0,28.0
2018-02-14,4.5,1,0,1.0,rat,89,0,2.01843318,4.0,86.0
2018-02-14,4.5,1,0,2.0,rat,259,0,2.01843318,4.0,86.0
2018-02-14,5.0,1,0,4.0,rat,470,0,2.0,6.0,103.0
2018-02-14,5.5,1,0,2.0,rat,187,0,1.854262673,0.0,91.0
2018-02-14,5.5,1,0,1.0,rat,204,0,1.854262673,0.0,91.0
2018-02-14,5.5,1,0,2.0,rat,420,0,1.854262673,0.0,91.0
2018-02-14,5.5,1,0,9.0,rat,434,0,1.854262673,0.0,91.0
2018-02-14,5.5,1,0,0.061201372,rat,512,0,1.854262673,0.0,91.0
2018-02-14,5.5,1,0,1.0,rat,518,0,1.854262673,0.0,91.0
2018-02-14,10.0,0,1,31.0,pick,499,0,0.0,2.0,10.0
2018-02-14,12.0,1,0,1.0,rat,225,0,0.0,1.0,12.0
2018-02-15,1.0,0,1,0.050105814,fast,54,0,4.0,5.0,29.0
2018-02-15,2.0,0,1,1.0,fast,30,0,3.322033898,1.0,51.0
2018-02-15,2.0,1,0,0.085595674,attack_rat,71,0,3.322033898,1.0,51.0
2018-02-15,1.5,1,0,6.0,bat,179,0,3.822307272,4.0,34.0
2018-02-15,1.5,0,1,6.0,pick,201,0,3.822307272,4.0,34.0
2018-02-15,1.5,1,0,1.0,rat,321,0,3.822307272,4.0,34.0
2018-02-04,1.5,1,0,3.0,bat_and_rat,77,0,3.933259177,3.0,83.0
2018-02-03,0.5,1,0,29.0,rat,22,0,3.949388209,1.0,34.0
2018-02-02,1.5,1,0,4.0,rat,3,0,4.0,0.0,45.0
2018-02-16,5.0,1,0,2.0,rat,25,0,3.0,0.0,65.0
2018-02-16,5.0,1,0,16.0,rat,181,0,3.0,0.0,65.0
2018-02-16,5.0,1,0,2.0,rat,201,0,3.0,0.0,65.0
2018-02-16,5.0,0,1,1.0,fast,206,0,3.0,0.0,65.0
2018-02-16,5.0,1,0,0.07570842,rat_attack,250,0,3.0,0.0,65.0
2018-02-19,7.0,0,1,0.057540536,fast,157,0,2.0,1.0,39.0
2018-02-19,8.0,1,0,3.0,rat,6,0,1.301587302,1.0,40.0
2018-02-10,4.0,1,0,5.0,rat,222,0,3.0,8.0,92.0
2018-02-10,4.0,1,0,1.0,rat,68,0,3.0,8.0,92.0
2018-02-10,4.0,1,0,2.0,rat,75,0,3.0,8.0,92.0
2018-02-10,4.5,1,0,1.0,rat,6,0,2.863978495,2.0,60.0
2018-02-10,4.5,1,0,4.0,rat,92,0,2.863978495,2.0,60.0
2018-02-10,4.5,1,0,13.0,rat,137,0,2.863978495,2.0,60.0
2018-02-10,4.5,1,0,1.0,rat,155,0,2.863978495,2.0,60.0
2018-02-10,4.5,0,1,2.0,fast,158,0,2.863978495,2.0,60.0
2018-02-10,4.5,1,0,1.0,rat,224,0,2.863978495,2.0,60.0
2018-02-11,7.0,1,0,1.0,rat,35,0,1.4,1.0,70.0
2018-02-11,8.0,0,1,5.0,pick,7,0,1.0,0.0,56.0
2018-02-11,8.5,1,0,0.04438061,rat,105,0,0.88320356,1.0,49.0
2018-02-11,8.5,1,0,3.0,rat,132,0,0.88320356,1.0,49.0
2018-02-11,8.5,0,1,1.0,fast,242,0,0.88320356,1.0,49.0
2018-02-11,8.5,0,1,6.0,fast,269,0,0.88320356,1.0,49.0
2018-02-11,8.5,1,0,24.0,rat,286,0,0.88320356,1.0,49.0
2018-02-10,2.0,0,1,0.097399911,fast,13,0,4.0,1.0,47.0
2018-02-17,3.5,1,0,2.0,rat,20,0,3.0,1.0,68.0
2018-02-17,3.5,1,0,1.0,rat,35,0,3.0,1.0,68.0
2018-02-17,3.5,1,0,2.0,rat,42,0,3.0,1.0,68.0
2018-02-17,0.0,0,1,0.050211363,fast,139,0,4.0,2.0,8.0
2018-03-18,4.0,0,1,3.0,fast,2,1,3.0,0.0,79.0
2018-03-18,4.0,0,1,2.0,fast,73,1,3.0,0.0,79.0
2018-03-18,4.0,0,1,1.0,fast,105,1,3.0,0.0,79.0
2018-03-18,4.0,0,1,2.0,fast,130,1,3.0,0.0,79.0
2018-03-29,6.0,0,1,4.0,pick,71,1,2.800105764,0.0,46.0
2018-03-29,6.0,1,0,0.046019395,rat,192,1,2.800105764,0.0,46.0
2018-03-29,6.0,0,1,9.0,pick,220,1,2.800105764,0.0,46.0
2018-03-29,6.0,0,1,18.0,pick,239,1,2.800105764,0.0,46.0
2018-03-29,6.0,1,0,14.0,rat,250,1,2.800105764,0.0,46.0
2018-03-29,6.0,0,1,3.0,fast,265,1,2.800105764,0.0,46.0
2018-03-29,6.0,1,0,12.0,rat,279,1,2.800105764,0.0,46.0
2018-03-29,6.0,0,1,15.0,pick,295,1,2.800105764,0.0,46.0
2018-03-29,6.0,0,1,2.0,fast,426,1,2.800105764,0.0,46.0
2018-03-29,6.0,1,0,34.0,rat,452,1,2.800105764,0.0,46.0
2018-03-29,6.0,1,0,11.0,rat,507,1,2.800105764,0.0,46.0
2018-03-29,7.5,0,1,0.013008356,fast,29,1,2.0,0.0,61.0
2018-03-29,7.5,0,1,2.0,fast,135,1,2.0,0.0,61.0
2018-03-29,7.5,1,0,2.0,rat,188,1,2.0,0.0,61.0
2018-03-29,7.5,1,0,0.028276798,rat,329,1,2.0,0.0,61.0
2018-03-20,8.5,1,1,4.0,rat_pick,46,1,2.423728814,0.0,28.0
2018-03-20,9.5,0,1,2.0,fast,108,1,2.0,0.0,16.0
2018-03-31,7.0,0,1,3.0,fast,537,1,0.779689297,0.0,28.0
2018-03-31,7.0,0,1,0.064154735,fast,572,1,0.779689297,0.0,28.0
2018-04-02,3.0,1,0,10.0,rat,381,1,2.774193548,1.0,98.0
2018-04-02,3.0,1,0,8.0,rat_and_bat,436,1,2.774193548,1.0,98.0
2018-04-02,3.0,0,1,2.0,fast,450,1,2.774193548,1.0,98.0
2018-04-02,3.0,1,0,6.0,rat_and_bat,455,1,2.774193548,1.0,98.0
2018-04-02,3.0,0,1,0.030293066,fast,558,1,2.774193548,1.0,98.0
2018-04-02,3.0,1,0,7.0,rat,662,1,2.774193548,1.0,98.0
2018-04-02,3.0,1,0,6.0,rat,673,1,2.774193548,1.0,98.0
2018-04-02,3.0,0,1,18.0,pick,668,1,2.774193548,1.0,98.0
2018-04-02,3.0,1,0,17.0,rat_and_bat,695,1,2.774193548,1.0,98.0
2018-04-02,4.0,0,1,1.0,fast,128,1,2.0,1.0,69.0
2018-04-02,4.5,0,1,6.0,pick,381,1,2.0,1.0,91.0
2018-04-02,4.5,0,1,2.0,fast,80,1,2.0,1.0,91.0
2018-04-02,4.5,0,1,1.0,fast,177,1,2.0,1.0,91.0
2018-04-02,4.5,1,0,11.0,other_bat,223,1,2.0,1.0,91.0
2018-04-02,5.0,0,1,3.0,fast,234,1,,,
2018-04-02,5.0,0,1,25.0,pick,239,1,,,
2018-04-02,5.0,1,0,3.0,rat,262,1,,,
2018-04-02,5.0,1,0,11.0,rat,287,1,,,
2018-04-02,5.0,0,1,15.0,pick,355,1,,,
2018-04-03,6.0,0,1,0.069936967,fast,53,1,1.758064516,1.0,67.0
2018-04-03,6.0,0,1,1.0,fast,82,1,1.758064516,1.0,67.0
2018-04-03,6.0,0,1,1.0,fast,98,1,1.758064516,1.0,67.0
2018-04-03,6.0,0,1,4.0,pick,101,1,1.758064516,1.0,67.0
2018-04-03,6.0,1,0,0.036982956,rat,112,1,1.758064516,1.0,67.0
2018-04-03,6.0,1,0,1.0,rat,120,1,1.758064516,1.0,67.0
2018-04-03,6.0,0,1,2.0,fast,128,1,1.758064516,1.0,67.0
2018-04-03,6.0,0,1,4.0,fast,180,1,1.758064516,1.0,67.0
2018-04-03,6.0,1,0,3.0,rat,232,1,1.758064516,1.0,67.0
2018-04-03,6.0,0,1,3.0,fast,435,1,1.758064516,1.0,67.0
2018-04-03,6.0,0,1,6.0,fast,612,1,1.758064516,1.0,67.0
2018-04-03,6.0,0,1,1.0,fast,708,1,1.758064516,1.0,67.0
2018-04-03,6.0,1,0,9.0,rat,777,1,1.758064516,1.0,67.0
2018-04-03,6.0,1,0,23.0,rat,806,1,1.758064516,1.0,67.0
2018-04-03,2.5,0,1,3.0,fast,90,1,3.0,1.0,77.0
2018-04-03,2.5,0,1,3.0,fast,376,1,3.0,1.0,77.0
2018-04-03,2.5,0,1,2.0,fast,452,1,3.0,1.0,77.0
2018-04-03,4.5,0,1,2.0,fast,12,1,2.295081967,1.0,82.0
2018-04-03,4.5,1,0,9.0,rat,31,1,2.295081967,1.0,82.0
2018-04-03,4.5,0,1,4.0,fast,58,1,2.295081967,1.0,82.0
2018-04-03,4.5,1,0,5.0,rat,187,1,2.295081967,1.0,82.0
2018-04-03,4.5,1,0,4.0,rat,197,1,2.295081967,1.0,82.0
2018-04-03,4.5,0,1,1.0,fast,224,1,2.295081967,1.0,82.0
2018-04-03,4.5,1,0,48.0,rat,312,1,2.295081967,1.0,82.0
2018-04-03,4.5,0,1,3.0,fast,312,1,2.295081967,1.0,82.0
2018-04-03,4.5,1,0,0.010238211,rat_to_bat,402,1,2.295081967,1.0,82.0
2018-04-03,4.5,0,1,2.0,fast,597,1,2.295081967,1.0,82.0
2018-04-03,4.5,1,0,2.0,rat,949,1,2.295081967,1.0,82.0
2018-04-04,6.0,1,0,3.0,rat,12,1,2.0,0.0,69.0
2018-04-04,6.0,0,1,4.0,fast,25,1,2.0,0.0,69.0
2018-04-04,6.0,1,0,22.0,other_bats/rat,59,1,2.0,0.0,69.0
2018-04-04,6.0,0,1,2.0,fast,97,1,2.0,0.0,69.0
2018-04-04,6.0,0,1,2.0,fast,112,1,2.0,0.0,69.0
2018-04-04,6.0,1,0,59.0,rat,165,1,2.0,0.0,69.0
2018-04-04,6.0,0,1,4.0,fast,217,1,2.0,0.0,69.0
2018-04-04,6.0,1,0,1.0,rat,357,1,2.0,0.0,69.0
2018-04-04,6.0,1,0,14.0,rat,418,1,2.0,0.0,69.0
2018-04-04,6.0,0,1,1.0,fast,624,1,2.0,0.0,69.0
2018-04-26,2.0,1,0,6.0,rat,22,1,3.0,1.0,84.0
2018-04-26,2.0,1,0,2.0,bat_and_rat,29,1,3.0,1.0,84.0
2018-04-26,2.0,1,1,8.0,bat_and_pick,45,1,3.0,1.0,84.0
2018-04-26,2.0,1,0,5.0,bat_and_rat,66,1,3.0,1.0,84.0
2018-04-26,2.0,1,0,2.0,bat_fight,76,1,3.0,1.0,84.0
2018-04-26,2.0,1,0,15.0,bat_fight,88,1,3.0,1.0,84.0
2018-04-26,2.0,1,1,4.0,bat_fight_and_pick,101,1,3.0,1.0,84.0
2018-04-26,3.0,1,0,15.0,bat,16,1,3.0,2.0,79.0
2018-04-26,3.0,1,1,18.0,bat_and_pick,33,1,3.0,2.0,79.0
2018-04-26,3.0,0,1,3.0,pick,65,1,3.0,2.0,79.0
2018-04-26,3.0,1,1,13.0,bat_and_pick,81,1,3.0,2.0,79.0
2018-04-26,3.0,1,1,14.0,bat_and_pick,81,1,3.0,2.0,79.0
2018-04-26,3.0,1,1,10.0,bat_and_pick,92,1,3.0,2.0,79.0
2018-04-26,3.0,1,0,7.0,bat_and_rat,126,1,3.0,2.0,79.0
2018-04-26,3.0,0,1,3.0,pick,202,1,3.0,2.0,79.0
2018-04-26,3.0,0,1,1.0,fast,215,1,3.0,2.0,79.0
2018-04-26,3.0,1,0,23.0,bat,274,1,3.0,2.0,79.0
2018-04-26,3.0,0,1,4.0,pick,318,1,3.0,2.0,79.0
2018-04-26,3.0,1,1,5.0,pick_and_bat,322,1,3.0,2.0,79.0
2018-04-26,3.0,0,1,3.0,fast,326,1,3.0,2.0,79.0
2018-04-26,3.0,0,1,2.0,fast,340,1,3.0,2.0,79.0
2018-04-26,3.0,1,1,55.0,bat_and_pick,343,1,3.0,2.0,79.0
2018-04-26,3.5,0,1,3.0,fast,392,1,3.0,1.0,62.0
2018-04-26,3.5,1,0,2.0,bat_fight,594,1,3.0,1.0,62.0
2018-04-26,3.5,1,0,2.0,bat_fight,602,1,3.0,1.0,62.0
2018-04-26,3.5,1,0,1.0,rat,613,1,3.0,1.0,62.0
2018-04-26,3.5,1,1,18.0,pick_and_others,635,1,3.0,1.0,62.0
2018-04-26,4.0,0,1,0.028315379,fast,22,1,3.0,0.0,57.0
2018-04-26,4.0,1,1,6.0,pick_and_bat,37,1,3.0,0.0,57.0
2018-04-26,4.0,1,0,9.0,bat,46,1,3.0,0.0,57.0
2018-04-26,4.0,0,1,2.0,fast,87,1,3.0,0.0,57.0
2018-04-26,4.0,0,1,8.0,pick,96,1,3.0,0.0,57.0
2018-04-26,4.0,0,1,6.0,pick,110,1,3.0,0.0,57.0
2018-04-26,4.0,0,1,6.0,pick,273,1,3.0,0.0,57.0
2018-04-26,4.0,0,1,0.039556377,fast,283,1,3.0,0.0,57.0
2018-04-27,5.0,1,1,7.0,bat_pick_rat,10,1,2.483870968,1.0,65.0
2018-04-27,5.0,0,1,4.0,fast,65,1,2.483870968,1.0,65.0
2018-04-27,5.0,1,0,0.02018894,rat,72,1,2.483870968,1.0,65.0
2018-04-27,5.0,1,0,47.0,bat_and_rat,91,1,2.483870968,1.0,65.0
2018-04-27,5.0,1,0,35.0,bat,129,1,2.483870968,1.0,65.0
2018-04-27,5.0,1,1,13.0,bat_and_pick,138,1,2.483870968,1.0,65.0
2018-04-27,5.0,1,1,12.0,bat_and_pick,164,1,2.483870968,1.0,65.0
2018-04-27,5.0,1,1,20.0,bat_and_pick,183,1,2.483870968,1.0,65.0
2018-04-27,5.0,1,1,9.0,bat_and_pick,187,1,2.483870968,1.0,65.0
